"discipline","focal_game","next_game","model","model_description","odds_ratio","estimate","standard_error","z_value","p_value","term"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.895421492655394,-0.110460730051026,0.247550541775083,-0.446214858828252,0.655442050687929,"roundRound of 16"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.889481050984759,-0.117117075099495,0.240407346447354,-0.487160965878147,0.626144264933031,"roundRound of 32"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.911468800494221,-0.0926979141994054,0.267740444985515,-0.346223052719661,0.729175091268884,"roundRound of 64"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",0.737110266518203,-0.305017782626934,0.283879026735353,-1.07446395788614,0.282614790268137,"roundSemi final"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.88274321045524,0.63272986780785,0.771309760970675,0.820331726402081,0.412027024721625,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.26799001692765,0.237432982898594,0.151183998991637,1.57049016087826,0.116301121642939,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.00960493663634,0.00955910248812239,0.102086034202685,0.0936377102194353,0.925396952779908,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.12286915367806,0.115887153988442,0.11447127152277,1.01236888912683,0.311361707754688,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"max_streak_diff","Controls + final score differential + maximum-streak differential",1.14430064776064,0.134793662417265,0.144241571573013,0.934499402268608,0.350046344169185,"tournament_typeHSBC BWF World Tour Super 750"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.0343357404552,0.0337594240160493,0.241196716101086,0.13996635013016,0.888686577330126,"(Intercept)"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.3494298517865,0.299682171233056,0.0268199865803465,11.1738374788248,5.47627046450689e-29,"elo_difference_100"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.09018570819476,0.0863480562195756,0.0157707729634818,5.47519493302704,4.37030251634858e-08,"final_score_diff"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.983312718525115,-0.0168280827478809,0.291397354747521,-0.0577496071042289,0.953948078844902,"roundQualification quarter final"
