"discipline","focal_game","next_game","focal_team_one_points","focal_team_two_points","final_score_diff","predictor","n_matches","mean_momentum","predictor_label"
"MS",1,2,19,21,-2,"excess_late_game_momentum",163,-0.196073619631902,"Excess late-game momentum"
"MS",1,2,19,21,-2,"excess_max_streak_momentum",163,-0.280098159509202,"Excess maximum-streak momentum"
"MS",1,2,19,21,-2,"excess_streak_bonus_momentum",163,-0.21130775861666,"Excess streak-bonus momentum"
"MS",1,2,20,22,-2,"excess_late_game_momentum",77,0.314909090909091,"Excess late-game momentum"
"MS",1,2,20,22,-2,"excess_max_streak_momentum",77,-0.392415584415584,"Excess maximum-streak momentum"
"MS",1,2,20,22,-2,"excess_streak_bonus_momentum",77,-0.417752854169277,"Excess streak-bonus momentum"
"MS",1,2,21,8,13,"excess_late_game_momentum",39,-0.179692307692308,"Excess late-game momentum"
"MS",1,2,21,8,13,"excess_max_streak_momentum",39,-0.210461538461538,"Excess maximum-streak momentum"
"MS",1,2,21,8,13,"excess_streak_bonus_momentum",39,-0.0852743474101691,"Excess streak-bonus momentum"
"MS",1,2,21,9,12,"excess_late_game_momentum",64,-0.0215,"Excess late-game momentum"
"MS",1,2,21,9,12,"excess_max_streak_momentum",64,0.138625,"Excess maximum-streak momentum"
"MS",1,2,21,9,12,"excess_streak_bonus_momentum",64,0.204216998615519,"Excess streak-bonus momentum"
"MS",1,2,21,10,11,"excess_late_game_momentum",87,-0.247540229885057,"Excess late-game momentum"
"MS",1,2,21,10,11,"excess_max_streak_momentum",87,-0.0538390804597701,"Excess maximum-streak momentum"
"MS",1,2,21,10,11,"excess_streak_bonus_momentum",87,-0.536918563888089,"Excess streak-bonus momentum"
"MS",1,2,21,11,10,"excess_late_game_momentum",113,0.554336283185841,"Excess late-game momentum"
"MS",1,2,21,11,10,"excess_max_streak_momentum",113,-0.594796460176991,"Excess maximum-streak momentum"
"MS",1,2,21,11,10,"excess_streak_bonus_momentum",113,-0.550851913486106,"Excess streak-bonus momentum"
"MS",1,2,21,12,9,"excess_late_game_momentum",141,0.124709219858156,"Excess late-game momentum"
"MS",1,2,21,12,9,"excess_max_streak_momentum",141,-0.0398581560283688,"Excess maximum-streak momentum"
"MS",1,2,21,12,9,"excess_streak_bonus_momentum",141,-0.160561002828017,"Excess streak-bonus momentum"
