"tournament","city","country","date","tournament_type","discipline","round","winner","nb_sets","retired","game_1_score","game_2_score","game_3_score","team_one_players","team_two_players","team_one_nationalities","team_two_nationalities","team_one_total_points","team_two_total_points","team_one_most_consecutive_points","team_two_most_consecutive_points","team_one_game_points","team_two_game_points","team_one_most_consecutive_points_game_1","team_two_most_consecutive_points_game_1","team_one_game_points_game_1","team_two_game_points_game_1","game_1_scores","team_one_most_consecutive_points_game_2","team_two_most_consecutive_points_game_2","team_one_game_points_game_2","team_two_game_points_game_2","game_2_scores","team_one_most_consecutive_points_game_3","team_two_most_consecutive_points_game_3","team_one_game_points_game_3","team_two_game_points_game_3","game_3_scores","team_one_pre_match_elo","team_two_pre_match_elo","team_one_pre_match_weighted_elo","team_two_pre_match_weighted_elo"
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","19-09-2018","BWF Tour Super 100","WS","Round of 32",2,2,"False","15-21","18-21","","Hsiang Ti Lin","Fitriani Fitriani","TPE","INA",33,42,5,5,0,7,5,5,0,3,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '4-4', '5-4', '5-5', '5-6', '5-7', '5-8', '6-8', '7-8', '8-8', '9-8', '10-8', '10-9', '10-10', '10-11', '10-12', '10-13', '11-13', '11-14', '12-14', '12-15', '12-16', '13-16', '13-17', '13-18', '13-19', '13-20', '14-20', '15-20', '15-21']",3,4,0,4,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '10-11', '11-11', '12-11', '12-12', '12-13', '12-14', '13-14', '13-15', '14-15', '14-16', '14-17', '14-18', '15-18', '15-19', '15-20', '16-20', '17-20', '18-20', '18-21']",,,,,"[]",1459.63037862748,1411.01696090971,1462.13482422185,1404.62269134102
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",1,2,"False","21-17","22-20","","Minatsu Mitani","Crystal Pan","JPN","USA",43,37,6,6,3,1,4,3,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '6-4', '7-4', '7-5', '8-5', '8-6', '8-7', '8-8', '9-8', '10-8', '11-8', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '14-12', '15-12', '15-13', '16-13', '17-13', '18-13', '19-13', '19-14', '19-15', '19-16', '20-16', '20-17', '21-17']",6,6,1,1,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '6-7', '7-7', '7-8', '8-8', '9-8', '10-8', '10-9', '10-10', '10-11', '11-11', '12-11', '13-11', '14-11', '15-11', '16-11', '16-12', '16-13', '17-13', '18-13', '18-14', '19-14', '19-15', '19-16', '19-17', '19-18', '19-19', '19-20', '20-20', '21-20', '22-20']",,,,,"[]",1732.34569228165,1459.33825780483,1773.31722738801,1448.86984820543
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",2,3,"False","10-21","21-17","10-21","Su Yu Chen","Choirunnisa Choirunnisa","TPE","INA",41,59,6,6,1,2,4,6,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '4-7', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '7-13', '8-13', '8-14', '9-14', '9-15', '9-16', '9-17', '9-18', '10-18', '10-19', '10-20', '10-21']",6,3,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '5-3', '5-4', '6-4', '6-5', '6-6', '6-7', '7-7', '7-8', '8-8', '8-9', '8-10', '9-10', '9-11', '10-11', '11-11', '12-11', '12-12', '13-12', '13-13', '13-14', '14-14', '14-15', '15-15', '15-16', '15-17', '16-17', '17-17', '18-17', '19-17', '20-17', '21-17']",3,6,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '9-14', '9-15', '9-16', '9-17', '10-17', '10-18', '10-19', '10-20', '10-21']",1531.92486630696,1631.15076498517,1533.06238271826,1663.57373488764
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",2,2,"False","14-21","8-21","","Sri Krishna Priya Kudaravalli","Saya Yamamoto","IND","JPN",22,42,2,8,0,4,2,5,0,2,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '6-5', '6-6', '7-6', '7-7', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '12-11', '12-12', '12-13', '12-14', '12-15', '12-16', '13-16', '13-17', '13-18', '13-19', '13-20', '14-20', '14-21']",2,8,0,2,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '3-9', '3-10', '3-11', '4-11', '5-11', '5-12', '6-12', '7-12', '7-13', '7-14', '7-15', '7-16', '7-17', '7-18', '7-19', '7-20', '8-20', '8-21']",,,,,"[]",1484.56031929583,1536,1490.04477505108,1548.1935483871
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",1,2,"False","21-11","21-3","","Joy Xuan DENG","Sum Yee Yeung","CHN","HKG",42,14,16,3,3,0,6,3,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '12-10', '13-10', '14-10', '15-10', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '21-11']",10,1,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '10-0', '10-1', '11-1', '12-1', '13-1', '14-1', '15-1', '16-1', '17-1', '18-1', '19-1', '19-2', '20-2', '20-3', '21-3']",,,,,"[]",1685.90122470346,1568.28310459361,1730.66809681777,1590.09576458015
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",1,2,"False","21-11","21-16","","Shiori Saito","Putri Kusuma Wardani","JPN","INA",42,27,7,3,2,0,7,3,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '5-2', '6-2', '7-2', '8-2', '9-2', '10-2', '11-2', '12-2', '12-3', '13-3', '13-4', '13-5', '13-6', '14-6', '14-7', '15-7', '16-7', '16-8', '17-8', '17-9', '17-10', '18-10', '18-11', '19-11', '20-11', '21-11']",4,3,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '6-8', '7-8', '8-8', '8-9', '8-10', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '13-14', '14-14', '15-14', '15-15', '16-15', '17-15', '17-16', '18-16', '19-16', '20-16', '21-16']",,,,,"[]",1591.92534856201,1534.83075828314,1609.65454687578,1545.31614164675
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",1,2,"False","21-12","21-14","","Ruselli Hartawan","Supanida Katethong","INA","THA",42,26,5,3,2,0,5,3,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '8-6', '9-6', '10-6', '11-6', '12-6', '13-6', '13-7', '13-8', '14-8', '15-8', '15-9', '16-9', '17-9', '17-10', '17-11', '18-11', '18-12', '19-12', '20-12', '21-12']",5,3,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '6-4', '6-5', '7-5', '8-5', '9-5', '10-5', '11-5', '11-6', '12-6', '12-7', '13-7', '13-8', '13-9', '14-9', '15-9', '16-9', '16-10', '16-11', '16-12', '17-12', '18-12', '18-13', '18-14', '19-14', '20-14', '21-14']",,,,,"[]",1498.49961921403,1548.00461960885,1483.6053050332,1558.04929592817
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",2,3,"False","17-21","22-20","11-21","Asty Dwi Widyaningrum","Yulia Yosephin Susanto","INA","INA",50,62,6,7,1,4,3,5,0,1,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '11-7', '11-8', '12-8', '13-8', '14-8', '14-9', '15-9', '15-10', '15-11', '15-12', '15-13', '15-14', '16-14', '16-15', '16-16', '17-16', '17-17', '17-18', '17-19', '17-20', '17-21']",4,4,1,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '9-8', '10-8', '10-9', '11-9', '11-10', '11-11', '12-11', '13-11', '13-12', '14-12', '15-12', '15-13', '15-14', '15-15', '16-15', '17-15', '17-16', '18-16', '18-17', '18-18', '18-19', '18-20', '19-20', '20-20', '21-20', '22-20']",2,7,0,1,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '3-3', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '4-9', '4-10', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '7-14', '7-15', '8-15', '9-15', '9-16', '9-17', '10-17', '10-18', '11-18', '11-19', '11-20', '11-21']",1536,1527.06262717715,1545.56962025316,1538.49150823898
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","20-09-2018","BWF Tour Super 100","WS","Round of 16",2,2,"False","6-21","15-21","","Sri Fatmawati","Fitriani Fitriani","INA","INA",21,42,3,10,0,3,2,10,0,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '3-11', '3-12', '3-13', '4-13', '4-14', '5-14', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '6-21']",3,6,0,2,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '7-7', '8-7', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '11-12', '11-13', '12-13', '13-13', '13-14', '14-14', '14-15', '14-16', '14-17', '14-18', '14-19', '14-20', '15-20', '15-21']",,,,,"[]",1539.71689540639,1452.02148815175,1552.5026799703,1458.26154743345
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","21-09-2018","BWF Tour Super 100","WS","Quarter final",1,3,"False","15-21","21-18","21-12","Shiori Saito","Ruselli Hartawan","JPN","INA",57,51,6,4,3,1,3,4,0,1,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '7-12', '7-13', '7-14', '8-14', '9-14', '10-14', '10-15', '10-16', '10-17', '10-18', '11-18', '12-18', '12-19', '13-19', '14-19', '15-19', '15-20', '15-21']",5,4,2,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '6-7', '6-8', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '9-12', '9-13', '10-13', '11-13', '12-13', '13-13', '14-13', '14-14', '14-15', '15-15', '16-15', '17-15', '18-15', '18-16', '18-17', '19-17', '20-17', '20-18', '21-18']",6,4,1,0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '9-5', '10-5', '11-5', '11-6', '12-6', '13-6', '14-6', '14-7', '14-8', '15-8', '15-9', '15-10', '15-11', '15-12', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",1622.06210058289,1539.59471117475,1648.0136714618,1540.66699590295
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","21-09-2018","BWF Tour Super 100","WS","Quarter final",1,3,"False","21-16","16-21","21-18","Minatsu Mitani","Choirunnisa Choirunnisa","JPN","INA",58,55,6,7,2,2,3,5,1,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '12-12', '13-12', '14-12', '14-13', '15-13', '16-13', '16-14', '17-14', '17-15', '18-15', '18-16', '19-16', '20-16', '21-16']",3,5,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '4-6', '4-7', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '7-12', '8-12', '8-13', '9-13', '9-14', '9-15', '9-16', '10-16', '10-17', '11-17', '12-17', '12-18', '13-18', '14-18', '15-18', '15-19', '15-20', '16-20', '16-21']",6,6,1,0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '2-6', '3-6', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '7-11', '7-12', '7-13', '7-14', '8-14', '9-14', '9-15', '10-15', '11-15', '12-15', '13-15', '13-16', '13-17', '14-17', '15-17', '15-18', '16-18', '17-18', '18-18', '19-18', '20-18', '21-18']",1744.72929807667,1657.14004630837,1785.54092074799,1689.61453819035
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","21-09-2018","BWF Tour Super 100","WS","Quarter final",1,2,"False","21-7","21-16","","Joy Xuan DENG","Saya Yamamoto","CHN","JPN",42,23,10,5,2,0,7,3,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '5-1', '5-2', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '15-5', '16-5', '17-5', '17-6', '18-6', '18-7', '19-7', '20-7', '21-7']",7,5,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '7-1', '7-2', '7-3', '8-3', '8-4', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '12-7', '12-8', '12-9', '12-10', '13-10', '14-10', '14-11', '15-11', '16-11', '16-12', '16-13', '17-13', '17-14', '18-14', '19-14', '19-15', '19-16', '20-16', '21-16']",,,,,"[]",1710.159236424,1566.70861576612,1761.16614836099,1588.07776866378
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","21-09-2018","BWF Tour Super 100","WS","Quarter final",1,3,"False","21-14","9-21","22-20","Yulia Yosephin Susanto","Fitriani Fitriani","INA","INA",52,55,4,7,3,4,3,2,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '5-3', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '10-5', '10-6', '11-6', '12-6', '12-7', '12-8', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '17-10', '17-11', '18-11', '18-12', '19-12', '19-13', '20-13', '20-14', '21-14']",2,7,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '2-6', '2-7', '3-7', '3-8', '3-9', '4-9', '4-10', '4-11', '5-11', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '8-20', '9-20', '9-21']",4,5,1,2,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '6-10', '7-10', '8-10', '8-11', '9-11', '9-12', '9-13', '10-13', '11-13', '12-13', '12-14', '13-14', '13-15', '14-15', '15-15', '16-15', '17-15', '17-16', '17-17', '17-18', '18-18', '18-19', '18-20', '19-20', '20-20', '21-20', '22-20']",1563.98848073347,1496.9199887257,1579.26985150842,1518.97125230652
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","22-09-2018","BWF Tour Super 100","WS","Semi final",1,2,"False","21-18","21-9","","Shiori Saito","Yulia Yosephin Susanto","JPN","INA",42,27,10,4,2,0,6,4,1,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '7-2', '7-3', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '10-7', '11-7', '11-8', '11-9', '12-9', '13-9', '14-9', '14-10', '15-10', '15-11', '16-11', '16-12', '16-13', '16-14', '16-15', '17-15', '18-15', '19-15', '19-16', '19-17', '19-18', '20-18', '21-18']",8,3,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '8-1', '8-2', '9-2', '10-2', '10-3', '11-3', '12-3', '13-3', '14-3', '14-4', '15-4', '15-5', '15-6', '15-7', '16-7', '16-8', '17-8', '17-9', '18-9', '19-9', '20-9', '21-9']",,,,,"[]",1649.67407075936,1593.12414275533,1675.68348170741,1611.35944427916
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","22-09-2018","BWF Tour Super 100","WS","Semi final",1,3,"False","18-21","21-16","21-19","Minatsu Mitani","Joy Xuan DENG","JPN","CHN",60,56,4,5,5,1,4,4,0,1,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '8-5', '9-5', '9-6', '9-7', '9-8', '9-9', '10-9', '10-10', '11-10', '12-10', '12-11', '12-12', '12-13', '12-14', '13-14', '14-14', '14-15', '14-16', '15-16', '15-17', '16-17', '17-17', '17-18', '17-19', '18-19', '18-20', '18-21']",3,3,3,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '6-6', '7-6', '8-6', '8-7', '9-7', '10-7', '10-8', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '14-11', '15-11', '15-12', '16-12', '17-12', '17-13', '18-13', '19-13', '19-14', '20-14', '20-15', '20-16', '21-16']",4,5,2,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '2-4', '2-5', '2-6', '2-7', '3-7', '3-8', '4-8', '5-8', '6-8', '6-9', '7-9', '8-9', '9-9', '9-10', '9-11', '9-12', '10-12', '11-12', '12-12', '13-12', '13-13', '14-13', '15-13', '15-14', '16-14', '16-15', '16-16', '17-16', '18-16', '19-16', '19-17', '19-18', '20-18', '20-19', '21-19']",1771.84112567775,1732.0861607071,1814.2131989411,1786.85383949154
"Bangka Belitung Indonesia Masters 2018","Pangkalpinang","Indonesia","23-09-2018","BWF Tour Super 100","WS","Final",1,2,"False","21-16","21-12","","Minatsu Mitani","Shiori Saito","JPN","JPN",42,28,9,3,6,0,6,3,4,0,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '3-6', '4-6', '5-6', '5-7', '5-8', '6-8', '6-9', '7-9', '8-9', '8-10', '8-11', '9-11', '10-11', '11-11', '12-11', '13-11', '14-11', '14-12', '15-12', '16-12', '17-12', '17-13', '18-13', '19-13', '20-13', '20-14', '20-15', '20-16', '21-16']",9,3,2,0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2', '4-2', '5-2', '6-2', '6-3', '6-4', '7-4', '7-5', '7-6', '7-7', '8-7', '8-8', '9-8', '9-9', '9-10', '10-10', '11-10', '11-11', '12-11', '13-11', '14-11', '15-11', '16-11', '17-11', '18-11', '19-11', '20-11', '20-12', '21-12']",,,,,"[]",1803.73974611718,1679.86577565349,1850.4343717872,1714.04448304486
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",2,2,"False","9-21","15-21","","Line Højmark Kjaersfeldt","Bingjiao He","DEN","CHN",24,42,7,7,0,3,3,7,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '1-7', '1-8', '1-9', '2-9', '3-9', '3-10', '3-11', '3-12', '3-13', '3-14', '3-15', '4-15', '4-16', '4-17', '5-17', '5-18', '6-18', '6-19', '7-19', '8-19', '9-19', '9-20', '9-21']",7,6,0,2,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '7-2', '7-3', '7-4', '7-5', '7-6', '8-6', '8-7', '9-7', '9-8', '10-8', '10-9', '10-10', '10-11', '10-12', '10-13', '10-14', '11-14', '11-15', '12-15', '12-16', '13-16', '14-16', '14-17', '14-18', '14-19', '14-20', '15-20', '15-21']",,,,,"[]",1542.20123858753,1773.39049838407,1569.34102622473,1834.94649522754
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",2,2,"False","17-21","9-21","","Sayaka Sato","Yufei Chen","JPN","CHN",26,42,2,6,0,3,2,2,0,1,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '2-4', '2-5', '3-5', '4-5', '4-6', '5-6', '5-7', '6-7', '6-8', '6-9', '7-9', '7-10', '8-10', '8-11', '9-11', '9-12', '10-12', '10-13', '11-13', '12-13', '12-14', '12-15', '13-15', '13-16', '13-17', '14-17', '14-18', '15-18', '16-18', '16-19', '17-19', '17-20', '17-21']",2,6,0,2,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '3-5', '3-6', '3-7', '3-8', '3-9', '3-10', '4-10', '4-11', '4-12', '4-13', '5-13', '5-14', '5-15', '5-16', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '8-20', '9-20', '9-21']",,,,,"[]",1509.45768795681,1767.36282546456,1531.35408851983,1817.51281050086
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",2,3,"False","22-20","8-21","14-21","Saina Nehwal","Ji Hyun Sung","IND","KOR",44,62,4,9,2,3,3,7,2,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '12-9', '13-9', '13-10', '13-11', '14-11', '15-11', '16-11', '16-12', '17-12', '17-13', '17-14', '17-15', '17-16', '17-17', '17-18', '17-19', '18-19', '19-19', '20-19', '20-20', '21-20', '22-20']",2,9,0,2,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '3-7', '4-7', '4-8', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '7-19', '7-20', '8-20', '8-21']",4,5,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '2-5', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '5-9', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '7-14', '8-14', '8-15', '9-15', '9-16', '9-17', '10-17', '10-18', '10-19', '11-19', '12-19', '13-19', '14-19', '14-20', '14-21']",1592.65757331486,1612.33424417531,1607.96987243889,1655.65518108169
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",1,2,"False","21-12","21-16","","Busanan Ongbamrungphan","Beatriz Corrales","THA","ESP",42,28,7,3,4,0,5,3,1,0,"['0-0', '0-1', '1-1', '2-1', '3-1', '3-2', '4-2', '5-2', '5-3', '6-3', '7-3', '8-3', '9-3', '10-3', '10-4', '11-4', '11-5', '11-6', '11-7', '12-7', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '15-11', '16-11', '16-12', '17-12', '18-12', '19-12', '20-12', '21-12']",4,3,3,0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '4-3', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '9-5', '9-6', '10-6', '11-6', '11-7', '12-7', '12-8', '13-8', '14-8', '14-9', '14-10', '14-11', '15-11', '15-12', '16-12', '17-12', '17-13', '17-14', '18-14', '19-14', '20-14', '20-15', '20-16', '21-16']",,,,,"[]",1544.27534136359,1447.90611369887,1559.09544594087,1452.32124005571
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",2,2,"False","15-21","13-21","","Saena Kawakami","V. Sindhu Pusarla","JPN","IND",28,42,3,7,0,6,3,6,0,4,"['0-0', '1-0', '1-1', '1-2', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '7-9', '7-10', '7-11', '7-12', '7-13', '8-13', '8-14', '9-14', '9-15', '9-16', '9-17', '9-18', '10-18', '11-18', '12-18', '12-19', '12-20', '13-20', '14-20', '15-20', '15-21']",3,6,0,2,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '1-6', '2-6', '3-6', '3-7', '4-7', '4-8', '5-8', '6-8', '6-9', '7-9', '7-10', '8-10', '9-10', '9-11', '10-11', '10-12', '11-12', '11-13', '11-14', '11-15', '12-15', '12-16', '12-17', '12-18', '12-19', '12-20', '13-20', '13-21']",,,,,"[]",1508.3916625377,1773.01454224612,1513.31377608748,1804.84492283482
"VICTOR China Open 2018","Changzhou","China","18-09-2018","HSBC BWF World Tour Super 1000","WS","Round of 32",1,2,"False","21-11","21-18","","Aya Ohori","Yu Po Pai","JPN","TPE",42,29,4,4,4,0,4,2,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '6-1', '6-2', '6-3', '7-3', '7-4', '8-4', '8-5', '9-5', '9-6', '10-6', '10-7', '10-8', '11-8', '12-8', '13-8', '14-8', '14-9', '15-9', '16-9', '17-9', '17-10', '18-10', '19-10', '19-11', '20-11', '21-11']",4,4,3,0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '6-5', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '10-8', '11-8', '12-8', '13-8', '13-9', '13-10', '14-10', '15-10', '15-11', '15-12', '16-12', '16-13', '16-14', '16-15', '16-16', '17-16', '18-16', '19-16', '20-16', '20-17', '20-18', '21-18']",,,,,"[]",1676.2058872407,1412.0523287559,1721.7179830315,1400.21635835334
