"discipline","focal_game","next_game","model","model_description","estimate","standard_error","z_value","p_value","term"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-1.57383463147372,1.08899564576454,-1.44521664305534,0.148397043006332,"roundRound 2"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-1.56211160366084,1.11319152166536,-1.40327299773528,0.16053544701431,"roundRound 3"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.068360182694746,0.258921807166518,0.264018637297638,0.791765557653371,"roundRound of 16"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.0497940329351016,0.250959747582305,0.198414420698168,0.842720835647353,"roundRound of 32"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0609451591147877,0.295053811319445,-0.206556081557626,0.836356562335,"roundSemi final"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",1.34494250919883,0.862336339809946,1.55964957883516,0.118842713460188,"tournament_typeHSBC BWF World Tour Finals"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0595627559145005,0.162403538685059,-0.366757746763188,0.71379972776345,"tournament_typeHSBC BWF World Tour Super 1000"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.162661825266299,0.114108815939194,1.42549744230961,0.154013458922633,"tournament_typeHSBC BWF World Tour Super 300"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",0.0136872004746004,0.129172493236587,0.105960643258092,0.915613578466481,"tournament_typeHSBC BWF World Tour Super 500"
"WS",1,2,"excess_late_game","Controls + final score differential + excess late-game momentum",-0.0844818433082423,0.156165193695579,-0.540977418264708,0.58852314756933,"tournament_typeHSBC BWF World Tour Super 750"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0692463765697113,0.25281821215018,-0.273897896756652,0.784163087949129,"(Intercept)"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.385640777679219,0.0297434236218244,12.9655813191678,1.91771008520049e-38,"elo_difference_100"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.00698041813753534,0.0262640322236802,0.265778616096946,0.79040971296106,"excess_max_streak_momentum"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.107387047503038,0.00631803300135973,16.9969114564497,8.65620585958917e-65,"final_score_diff"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0564146592255693,0.285760026089837,-0.197419702109888,0.843499112955169,"roundQualification quarter final"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0544469686718072,0.3419425916274,-0.159228390978377,0.87348893644084,"roundQualification round of 16"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.248702262786392,0.273395860423786,0.909678231414636,0.362992227683529,"roundQuarter final"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.120150881937058,1.20261657529488,-0.0999078878549443,0.920417454083907,"roundRound 1"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-1.56589234495389,1.08997391020924,-1.4366328682613,0.150822339167427,"roundRound 2"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-1.57932781133916,1.11295350655315,-1.41904203728185,0.155886760803815,"roundRound 3"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.0699752535650603,0.258878136340327,0.270301905577183,0.786927999468058,"roundRound of 16"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.0522003754433651,0.250897386078436,0.208054680278917,0.835186272684148,"roundRound of 32"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0614645203341824,0.294976943958801,-0.208370591644502,0.834939616826043,"roundSemi final"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",1.35300895676748,0.862852934891395,1.56806438508293,0.116866107158153,"tournament_typeHSBC BWF World Tour Finals"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0570076775742823,0.162392479752008,-0.351048753374169,0.725551773067675,"tournament_typeHSBC BWF World Tour Super 1000"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.164220400205327,0.114077937867951,1.43954565864801,0.14999598334658,"tournament_typeHSBC BWF World Tour Super 300"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",0.0178273241056479,0.129007072824328,0.138188734271367,0.890091258424871,"tournament_typeHSBC BWF World Tour Super 500"
"WS",1,2,"excess_max_streak","Controls + final score differential + excess maximum streak",-0.0817264833936671,0.156208444630824,-0.52318863802028,0.600842987384351,"tournament_typeHSBC BWF World Tour Super 750"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.0695514490824449,0.25283092479482,-0.275090751413768,0.783246516878022,"(Intercept)"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.385690995502119,0.0297439208271091,12.9670529229823,1.88125356745853e-38,"elo_difference_100"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.00432811588978482,0.0222670708494358,0.194372933873989,0.845883881386342,"excess_streak_bonus_momentum"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.107449620383869,0.00633553903833406,16.9598229501436,1.628343512525e-64,"final_score_diff"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.0567315944140566,0.285746532654948,-0.198538172578852,0.842624021723503,"roundQualification quarter final"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.0538171859056346,0.341904424057582,-0.157404181165468,0.874926318440319,"roundQualification round of 16"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.24893215883233,0.273379471241346,0.910573708047619,0.362520028862178,"roundQuarter final"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.114610538882791,1.20242210456164,-0.0953163938420557,0.924063521536093,"roundRound 1"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-1.56527404409198,1.08976110076659,-1.43634604225724,0.150903898719016,"roundRound 2"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-1.57860945546215,1.11279949799676,-1.41859288964807,0.15601774003866,"roundRound 3"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.0703119894015054,0.258858525995999,0.271623231767117,0.785911734465212,"roundRound of 16"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.0525459298762246,0.250883712326234,0.209443368758419,0.834102140046824,"roundRound of 32"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.0617338807916192,0.295006855755854,-0.209262529284099,0.834243301468899,"roundSemi final"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",1.35007941776083,0.862656229192665,1.56502598842221,0.117576815783833,"tournament_typeHSBC BWF World Tour Finals"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",-0.0578805081318615,0.162357569445759,-0.356500213260452,0.721465992410549,"tournament_typeHSBC BWF World Tour Super 1000"
"WS",1,2,"excess_streak_bonus","Controls + final score differential + excess streak bonus",0.164381438684309,0.114081033570188,1.44091820997724,0.149607790869952,"tournament_typeHSBC BWF World Tour Super 300"
